"Pathway1","Pathway2","Knowledge"
"ko00400","ko01053",1
"ko00400","ko01059",1
"ko00410","ko00460",1
"ko00410","ko00770",1
"ko00430","ko00460",1
"ko00430","ko00480",1
"ko00430","ko00620",1
"ko00430","ko00920",1
"ko00010","ko00440",1
"ko00030","ko00440",1
"ko00260","ko00440",1
"ko00270","ko00460",1
"ko00290","ko00460",1
"ko00350","ko00460",1
"ko00360","ko00460",1
"ko00450","ko00460",1
"ko00460","ko00470",1
"ko00460","ko00480",1
"ko00010","ko00470",1
"ko00270","ko00470",1
"ko00300","ko00470",1
"ko00310","ko00470",1
"ko00340","ko00470",1
"ko00360","ko00470",1
"ko00470","ko00550",1
"ko00470","ko00620",1
"ko00220","ko00480",1
"ko00010","ko00520",1
"ko00510","ko00520",1
"ko00520","ko00521",1
"ko00520","ko00523",1
"ko00520","ko00524",1
"ko00520","ko00525",1
"ko00520","ko00540",1
"ko00520","ko00541",1
"ko00520","ko00550",1
"ko00030","ko00541",1
"ko00051","ko00541",1
"ko00540","ko00541",1
"ko00510","ko00511",1
"ko00510","ko00513",1
"ko00510","ko00515",1
"ko00510","ko00533",1
"ko00510","ko00563",1
"ko00510","ko00900",1
"ko00512","ko00533",1
"ko00531","ko00532",1
"ko00531","ko00534",1
"ko00531","ko00533",1
"ko00511","ko00604",1
"ko00550","ko00900",1
"ko00552","ko00561",1
"ko00552","ko00900",1
"ko00564","ko00571",1
"ko00520","ko00572",1
"ko00523","ko00572",1
"ko00550","ko00572",1
"ko00010","ko00730",1
"ko00260","ko00730",1
"ko00270","ko00730",1
"ko00400","ko00730",1
"ko00730","ko00750",1
"ko00030","ko00740",1
"ko00740","ko00860",1
"ko00740","ko00900",1
"ko00010","ko00750",1
"ko00020","ko00760",1
"ko00760","ko00960",1
"ko00010","ko00770",1
"ko00240","ko00770",1
"ko00061","ko00780",1
"ko00780","ko00960",1
"ko00020","ko00785",1
"ko00260","ko00785",1
"ko00280","ko00785",1
"ko00310","ko00785",1
"ko00620","ko00785",1
"ko00362","ko00790",1
"ko00670","ko00790",1
"ko00260","ko00670",1
"ko00270","ko00670",1
"ko00830","ko00906",1
"ko00230","ko00860",1
"ko00130","ko00190",1
"ko00130","ko00900",1
"ko00130","ko00940",1
"ko00010","ko00900",1
"ko00403","ko00900",1
"ko00900","ko00902",1
"ko00900","ko00904",1
"ko00900","ko00906",1
"ko00900","ko00908",1
"ko00900","ko00909",1
"ko00901","ko00902",1
"ko00902","ko00903",1
"ko00902","ko00907",1
"ko00100","ko00909",1
"ko00400","ko00904",1
"ko00900","ko00981",1
"ko00280","ko00907",1
"ko00903","ko00907",1
"ko00522","ko01052",1
"ko01051","ko01052",1
"ko00522","ko00523",1
"ko00520","ko01051",1
"ko00523","ko01059",1
"ko00253","ko01056",1
"ko01056","ko01057",1
"ko00253","ko01057",1
"ko00401","ko00523",1
"ko00404","ko00523",1
"ko00521","ko00523",1
"ko00400","ko01055",1
"ko00520","ko01055",1
"ko00620","ko01055",1
"ko00940","ko00941",1
"ko00940","ko00945",1
"ko00941","ko00942",1
"ko00941","ko00943",1
"ko00941","ko00944",1
"ko00020","ko00946",1
"ko00941","ko00946",1
"ko00943","ko00946",1
"ko00944","ko00946",1
"ko00360","ko00950",1
"ko00902","ko00950",1
"ko00010","ko00996",1
"ko00100","ko00996",1
"ko00400","ko00996",1
"ko00901","ko00996",1
"ko00940","ko00996",1
"ko00230","ko00232",1
"ko00232","ko00630",1
"ko00400","ko00965",1
"ko00270","ko00966",1
"ko00290","ko00966",1
"ko00330","ko00332",1
"ko00260","ko00261",1
"ko00261","ko00300",1
"ko00261","ko00400",1
"ko00220","ko00331",1
"ko00521","ko00524",1
"ko00030","ko00525",1
"ko00330","ko00401",1
"ko00400","ko00401",1
"ko00400","ko00405",1
"ko00330","ko00333",1
"ko00333","ko00620",1
"ko00010","ko00998",1
"ko00020","ko00998",1
"ko00030","ko00998",1
"ko00220","ko00998",1
"ko00250","ko00998",1
"ko00260","ko00998",1
"ko00400","ko00998",1
"ko00440","ko00998",1
"ko00900","ko00998",1
"ko00010","ko00999",1
"ko00020","ko00999",1
"ko00270","ko00999",1
"ko00400","ko00999",1
"ko00900","ko00999",1
"ko00940","ko00999",1
"ko00010","ko00997",1
"ko00020","ko00997",1
"ko00250","ko00997",1
"ko00260","ko00997",1
"ko00400","ko00997",1
"ko00900","ko00997",1
"ko00010","ko00362",1
"ko00020","ko00362",1
"ko00350","ko00362",1
"ko00361","ko00362",1
"ko00362","ko00627",1
"ko00362","ko00364",1
"ko00364","ko00621",1
"ko00620","ko00625",1
"ko00625","ko00630",1
"ko00625","ko00680",1
"ko00020","ko00361",1
"ko00361","ko00630",1
"ko00362","ko00623",1
"ko00622","ko00623",1
"ko00010","ko00622",1
"ko00020","ko00622",1
"ko00622","ko00640",1
"ko00280","ko00633",1
"ko00623","ko00633",1
"ko00362","ko00642",1
"ko00620","ko00642",1
"ko00640","ko00642",1
"ko00642","ko00643",1
"ko00020","ko00643",1
"ko00362","ko00643",1
"ko00620","ko00643",1
"ko00640","ko00643",1
"ko00362","ko00930",1
"ko00361","ko00363",1
"ko00362","ko00363",1
"ko00020","ko00621",1
"ko00362","ko00621",1
"ko00620","ko00621",1
"ko00621","ko00627",1
"ko00350","ko00626",1
"ko00362","ko00626",1
"ko00622","ko00626",1
"ko00362","ko00624",1
"ko00624","ko00626",1
"ko00020","ko00365",1
"ko00010","ko00984",1
"ko00020","ko00984",1
"ko00140","ko00984",1
"ko00640","ko00984",1
