pathway_id,pathway_name,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,level_10,level_11,level_12,level_13,level_14
PWY-7723,bacterial bioluminescence,Bioluminescence/Fluorescence/Chromoprotein Biosynthesis,Bioluminescence,,,,,,,,,,,,
PWY-7914,coral bioluminescence,Bioluminescence/Fluorescence/Chromoprotein Biosynthesis,Bioluminescence,,,,,,,,,,,,
PWY-7912,dinoflagellate bioluminescence,Bioluminescence/Fluorescence/Chromoprotein Biosynthesis,Bioluminescence,,,,,,,,,,,,
PWY-7913,firefly bioluminescence,Bioluminescence/Fluorescence/Chromoprotein Biosynthesis,Bioluminescence,,,,,,,,,,,,
PWY-7937,fungal bioluminescence,Bioluminescence/Fluorescence/Chromoprotein Biosynthesis,Bioluminescence,,,,,,,,,,,,
PWY-7915,jellyfish bioluminescence,Bioluminescence/Fluorescence/Chromoprotein Biosynthesis,Bioluminescence,,,,,,,,,,,,
PWY-7916,squid bioluminescence,Bioluminescence/Fluorescence/Chromoprotein Biosynthesis,Bioluminescence,,,,,,,,,,,,
,blue chromoprotein chromophore biosynthesis,Bioluminescence/Fluorescence/Chromoprotein Biosynthesis,Chromoprotein Biosynthesis,,,,,,,,,,,,
,DsRed-type red fluorescent protein chromophore biosynthesis,Bioluminescence/Fluorescence/Chromoprotein Biosynthesis,Fluorescent Protein Biosynthesis,,,,,,,,,,,,
,Kaede-type red fluorescent protein chromophore biosynthesis,Bioluminescence/Fluorescence/Chromoprotein Biosynthesis,Fluorescent Protein Biosynthesis,,,,,,,,,,,,
,ZsYellow-type yellow fluorescent protein chromophore biosynthesis,Bioluminescence/Fluorescence/Chromoprotein Biosynthesis,Fluorescent Protein Biosynthesis,,,,,,,,,,,,
,cyan fluorescent protein chromophore biosynthesis,Bioluminescence/Fluorescence/Chromoprotein Biosynthesis,Fluorescent Protein Biosynthesis,,,,,,,,,,,,
,green fluorescent protein chromophore biosynthesis,Bioluminescence/Fluorescence/Chromoprotein Biosynthesis,Fluorescent Protein Biosynthesis,,,,,,,,,,,,
,beta-alanine betaine biosynthesis,Biosynthesis,"Amide, Amidine, Amine, and Polyamine Biosynthesis",Betaine Biosynthesis,,,,,,,,,,,
BETSYN-PWY,glycine betaine biosynthesis I (Gram-negative bacteria),Biosynthesis,"Amide, Amidine, Amine, and Polyamine Biosynthesis",Betaine Biosynthesis,,,,,,,,,,,
PWY-3722,glycine betaine biosynthesis II (Gram-positive bacteria),Biosynthesis,"Amide, Amidine, Amine, and Polyamine Biosynthesis",Betaine Biosynthesis,,,,,,,,,,,
PWY1F-353,glycine betaine biosynthesis III (plants),Biosynthesis,"Amide, Amidine, Amine, and Polyamine Biosynthesis",Betaine Biosynthesis,,,,,,,,,,,
P541-PWY,glycine betaine biosynthesis IV (from glycine),Biosynthesis,"Amide, Amidine, Amine, and Polyamine Biosynthesis",Betaine Biosynthesis,,,,,,,,,,,
PWY-3385,choline biosynthesis I,Biosynthesis,"Amide, Amidine, Amine, and Polyamine Biosynthesis",Choline Biosynthesis,,,,,,,,,,,
PWY-3542,choline biosynthesis II,Biosynthesis,"Amide, Amidine, Amine, and Polyamine Biosynthesis",Choline Biosynthesis,,,,,,,,,,,
PWY-3561,choline biosynthesis III,Biosynthesis,"Amide, Amidine, Amine, and Polyamine Biosynthesis",Choline Biosynthesis,,,,,,,,,,,
PWY-40,putrescine biosynthesis I,Biosynthesis,"Amide, Amidine, Amine, and Polyamine Biosynthesis",Putrescine Biosynthesis,,,,,,,,,,,
PWY-43,putrescine biosynthesis II,Biosynthesis,"Amide, Amidine, Amine, and Polyamine Biosynthesis",Putrescine Biosynthesis,,,,,,,,,,,
PWY-46,putrescine biosynthesis III,Biosynthesis,"Amide, Amidine, Amine, and Polyamine Biosynthesis",Putrescine Biosynthesis,,,,,,,,,,,
PWY-6305,superpathway of putrescine biosynthesis,Biosynthesis,"Amide, Amidine, Amine, and Polyamine Biosynthesis",Putrescine Biosynthesis,,,,,,,,,,,
BSUBPOLYAMSYN-PWY,spermidine biosynthesis I,Biosynthesis,"Amide, Amidine, Amine, and Polyamine Biosynthesis",Spermidine Biosynthesis,,,,,,,,,,,
PWY-6559,spermidine biosynthesis II,Biosynthesis,"Amide, Amidine, Amine, and Polyamine Biosynthesis",Spermidine Biosynthesis,,,,,,,,,,,
PWY-6834,spermidine biosynthesis III,Biosynthesis,"Amide, Amidine, Amine, and Polyamine Biosynthesis",Spermidine Biosynthesis,,,,,,,,,,,
,spermidine biosynthesis IV,Biosynthesis,"Amide, Amidine, Amine, and Polyamine Biosynthesis",Spermidine Biosynthesis,,,,,,,,,,,
PWY0-1303,aminopropylcadaverine biosynthesis,Biosynthesis,"Amide, Amidine, Amine, and Polyamine Biosynthesis",,,,,,,,,,,,
PWY-8114,branched-chain polyamines biosynthesis,Biosynthesis,"Amide, Amidine, Amine, and Polyamine Biosynthesis",,,,,,,,,,,,
PWY0-1601,cadaverine biosynthesis,Biosynthesis,"Amide, Amidine, Amine, and Polyamine Biosynthesis",,,,,,,,,,,,
,creatine phosphate biosynthesis,Biosynthesis,"Amide, Amidine, Amine, and Polyamine Biosynthesis",,,,,,,,,,,,
P101-PWY,ectoine biosynthesis,Biosynthesis,"Amide, Amidine, Amine, and Polyamine Biosynthesis",,,,,,,,,,,,
PWY-4121,glutathionylspermidine biosynthesis,Biosynthesis,"Amide, Amidine, Amine, and Polyamine Biosynthesis",,,,,,,,,,,,
PWY-6173,histamine biosynthesis,Biosynthesis,"Amide, Amidine, Amine, and Polyamine Biosynthesis",,,,,,,,,,,,
PWY-5907,homospermidine biosynthesis I,Biosynthesis,"Amide, Amidine, Amine, and Polyamine Biosynthesis",homospermidine biosynthesis,,,,,,,,,,,
PWY-8149,homospermidine biosynthesis II,Biosynthesis,"Amide, Amidine, Amine, and Polyamine Biosynthesis",homospermidine biosynthesis,,,,,,,,,,,
PWY-8115,long-chain polyamine biosynthesis,Biosynthesis,"Amide, Amidine, Amine, and Polyamine Biosynthesis",,,,,,,,,,,,
PWY-6562,norspermidine biosynthesis,Biosynthesis,"Amide, Amidine, Amine, and Polyamine Biosynthesis",,,,,,,,,,,,
PWY-7297,octopamine biosynthesis,Biosynthesis,"Amide, Amidine, Amine, and Polyamine Biosynthesis",,,,,,,,,,,,
PWY-6456,serinol biosynthesis,Biosynthesis,"Amide, Amidine, Amine, and Polyamine Biosynthesis",,,,,,,,,,,,
ARGSPECAT-PWY,spermine biosynthesis,Biosynthesis,"Amide, Amidine, Amine, and Polyamine Biosynthesis",,,,,,,,,,,,
,superpathway of arginine and polyamine biosynthesis (from L-glutamate),Biosynthesis,"Amide, Amidine, Amine, and Polyamine Biosynthesis",,,,,,,,,,,,
POLYAMSYN-PWY,superpathway of polyamine biosynthesis I,Biosynthesis,"Amide, Amidine, Amine, and Polyamine Biosynthesis",,,,,,,,,,,,
POLYAMINSYN3-PWY,superpathway of polyamine biosynthesis II,Biosynthesis,"Amide, Amidine, Amine, and Polyamine Biosynthesis",,,,,,,,,,,,
PWY-6565,superpathway of polyamine biosynthesis III,Biosynthesis,"Amide, Amidine, Amine, and Polyamine Biosynthesis",,,,,,,,,,,,
,trimethylamine N-oxide biosynthesis,Biosynthesis,"Amide, Amidine, Amine, and Polyamine Biosynthesis",,,,,,,,,,,,
TRYPANOSYN-PWY,trypanothione biosynthesis,Biosynthesis,"Amide, Amidine, Amine, and Polyamine Biosynthesis",,,,,,,,,,,,
URSIN-PWY,ureide biosynthesis,Biosynthesis,"Amide, Amidine, Amine, and Polyamine Biosynthesis",,,,,,,,,,,,
PWY-6482,diphthamide biosynthesis I (archaea),Biosynthesis,Amino Acid Biosynthesis,Modification of Amino Acid Within Proteins,Diphthamide Biosynthesis,,,,,,,,,,
PWY-7546,diphthamide biosynthesis II (eukaryotes),Biosynthesis,Amino Acid Biosynthesis,Modification of Amino Acid Within Proteins,Diphthamide Biosynthesis,,,,,,,,,,
PWY-5905,hypusine biosynthesis,Biosynthesis,Amino Acid Biosynthesis,Modification of Amino Acid Within Proteins,,,,,,,,,,,
PWY-4921,protein citrullination,Biosynthesis,Amino Acid Biosynthesis,Modification of Amino Acid Within Proteins,,,,,,,,,,,
,(4R)-4-[(E)-2-butenyl]-4-methyl-L-threonine biosynthesis,Biosynthesis,Amino Acid Biosynthesis,Other Amino Acid Biosynthesis,,,,,,,,,,,
PWY-7648,3-hydroxy-4-methyl-proline biosynthesis,Biosynthesis,Amino Acid Biosynthesis,Other Amino Acid Biosynthesis,,,,,,,,,,,
PWY-7649,3-hydroxy-L-homotyrosine biosynthesis,Biosynthesis,Amino Acid Biosynthesis,Other Amino Acid Biosynthesis,,,,,,,,,,,
,3-thia-L-glutamate biosynthesis,Biosynthesis,Amino Acid Biosynthesis,Other Amino Acid Biosynthesis,,,,,,,,,,,
PWY-7701,4-hydroxy-4-methyl-L-glutamate biosynthesis,Biosynthesis,Amino Acid Biosynthesis,Other Amino Acid Biosynthesis,,,,,,,,,,,
,L-Ndelta-acetylornithine biosynthesis,Biosynthesis,Amino Acid Biosynthesis,Other Amino Acid Biosynthesis,L-Ornithine Biosynthesis,,,,,,,,,,
GLUTORN-PWY,L-ornithine biosynthesis I,Biosynthesis,Amino Acid Biosynthesis,Other Amino Acid Biosynthesis,L-Ornithine Biosynthesis,,,,,,,,,,
ARGININE-SYN4-PWY,L-ornithine biosynthesis II,Biosynthesis,Amino Acid Biosynthesis,Other Amino Acid Biosynthesis,L-Ornithine Biosynthesis,,,,,,,,,,
CITRULBIO-PWY,L-citrulline biosynthesis,Biosynthesis,Amino Acid Biosynthesis,Other Amino Acid Biosynthesis,L-citrulline Biosynthesis,,,,,,,,,,
PWY-4921,protein citrullination,Biosynthesis,Amino Acid Biosynthesis,Other Amino Acid Biosynthesis,L-citrulline Biosynthesis,,,,,,,,,,
PWY-5004,superpathway of L-citrulline metabolism,Biosynthesis,Amino Acid Biosynthesis,Other Amino Acid Biosynthesis,L-citrulline Biosynthesis,,,,,,,,,,
PWY-5344,L-homocysteine biosynthesis,Biosynthesis,Amino Acid Biosynthesis,Other Amino Acid Biosynthesis,,,,,,,,,,,
PWY-1186,L-homomethionine biosynthesis,Biosynthesis,Amino Acid Biosynthesis,Other Amino Acid Biosynthesis,,,,,,,,,,,
PWY-7275,L-homophenylalanine biosynthesis,Biosynthesis,Amino Acid Biosynthesis,Other Amino Acid Biosynthesis,,,,,,,,,,,
HOMOSERSYN-PWY,L-homoserine biosynthesis,Biosynthesis,Amino Acid Biosynthesis,Other Amino Acid Biosynthesis,,,,,,,,,,,
,L-homotyrosine biosynthesis,Biosynthesis,Amino Acid Biosynthesis,Other Amino Acid Biosynthesis,,,,,,,,,,,
PWY-5957,L-nicotianamine biosynthesis,Biosynthesis,Amino Acid Biosynthesis,Other Amino Acid Biosynthesis,,,,,,,,,,,
PWY-8072,alanine racemization,Biosynthesis,Amino Acid Biosynthesis,Other Amino Acid Biosynthesis,,,,,,,,,,,
,beta-alanine biosynthesis I,Biosynthesis,Amino Acid Biosynthesis,Other Amino Acid Biosynthesis,beta Alanine Biosynthesis,,,,,,,,,,
,beta-alanine biosynthesis II,Biosynthesis,Amino Acid Biosynthesis,Other Amino Acid Biosynthesis,beta Alanine Biosynthesis,,,,,,,,,,
,beta-alanine biosynthesis III,Biosynthesis,Amino Acid Biosynthesis,Other Amino Acid Biosynthesis,beta Alanine Biosynthesis,,,,,,,,,,
,beta-alanine biosynthesis IV,Biosynthesis,Amino Acid Biosynthesis,Other Amino Acid Biosynthesis,beta Alanine Biosynthesis,,,,,,,,,,
PWY-3982,uracil degradation I (reductive),Biosynthesis,Amino Acid Biosynthesis,Other Amino Acid Biosynthesis,beta Alanine Biosynthesis,,,,,,,,,,
PWY-6936,seleno-amino acid biosynthesis (plants),Biosynthesis,Amino Acid Biosynthesis,Other Amino Acid Biosynthesis,,,,,,,,,,,
PWY-8140,serine racemization,Biosynthesis,Amino Acid Biosynthesis,Other Amino Acid Biosynthesis,,,,,,,,,,,
PWY-6395,superpathway of seleno-compound metabolism,Biosynthesis,Amino Acid Biosynthesis,Other Amino Acid Biosynthesis,,,,,,,,,,,
GLYSYN-PWY,glycine biosynthesis I,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,Glycine Biosynthesis,,,,,,,,,,
GLYCINE-SYN2-PWY,glycine biosynthesis II,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,Glycine Biosynthesis,,,,,,,,,,
GLYSYN-ALA-PWY,glycine biosynthesis III,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,Glycine Biosynthesis,,,,,,,,,,
GLYSYN-THR-PWY,glycine biosynthesis IV,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,Glycine Biosynthesis,,,,,,,,,,
,glycine biosynthesis V,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,Glycine Biosynthesis,,,,,,,,,,
ALANINE-VALINESYN-PWY,L-alanine biosynthesis I,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,L-alanine Biosynthesis,,,,,,,,,,
ALANINE-SYN2-PWY,L-alanine biosynthesis II,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,L-alanine Biosynthesis,,,,,,,,,,
PWY0-1021,L-alanine biosynthesis III,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,L-alanine Biosynthesis,,,,,,,,,,
PWY0-1061,superpathway of L-alanine biosynthesis,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,L-alanine Biosynthesis,,,,,,,,,,
ARGSYN-PWY,L-arginine biosynthesis I (via L-ornithine),Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,L-arginine Biosynthesis,,,,,,,,,,
ARGSYNBSUB-PWY,L-arginine biosynthesis II (acetyl cycle),Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,L-arginine Biosynthesis,,,,,,,,,,
PWY-5154,L-arginine biosynthesis III (via N-acetyl-L-citrulline),Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,L-arginine Biosynthesis,,,,,,,,,,
,L-arginine biosynthesis IV (archaea),Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,L-arginine Biosynthesis,,,,,,,,,,
ASPARAGINE-BIOSYNTHESIS,L-asparagine biosynthesis I,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,L-asparagine Biosynthesis,,,,,,,,,,
ASPARAGINESYN-PWY,L-asparagine biosynthesis II,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,L-asparagine Biosynthesis,,,,,,,,,,
PWY490-4,L-asparagine biosynthesis III (tRNA-dependent),Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,L-asparagine Biosynthesis,,,,,,,,,,
PWY0-1325,superpathway of L-asparagine biosynthesis,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,L-asparagine Biosynthesis,,,,,,,,,,
ASPARTATESYN-PWY,L-aspartate biosynthesis,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,L-aspartate Biosynthesis,,,,,,,,,,
CYSTSYN-PWY,L-cysteine biosynthesis I,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,L-cysteine Biosynthesis,,,,,,,,,,
PWY-6308,L-cysteine biosynthesis II (tRNA-dependent),Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,L-cysteine Biosynthesis,,,,,,,,,,
HOMOCYSDEGR-PWY,L-cysteine biosynthesis III (from L-homocysteine),Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,L-cysteine Biosynthesis,,,,,,,,,,
PWY-8010,L-cysteine biosynthesis IX (Trichomonas vaginalis),Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,L-cysteine Biosynthesis,,,,,,,,,,
PWY-7289,L-cysteine biosynthesis V (mycobacteria),Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,L-cysteine Biosynthesis,,,,,,,,,,
,L-cysteine biosynthesis VI (reverse transsulfuration),Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,L-cysteine Biosynthesis,,,,,,,,,,
PWY-7870,L-cysteine biosynthesis VII (from S-sulfo-L-cysteine),Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,L-cysteine Biosynthesis,,,,,,,,,,
PWY-8009,L-cysteine biosynthesis VIII (Thermococcus kodakarensis),Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,L-cysteine Biosynthesis,,,,,,,,,,
PWY-6293,superpathway of L-cysteine biosynthesis (fungi),Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,L-cysteine Biosynthesis,,,,,,,,,,
PWY-6292,superpathway of L-cysteine biosynthesis (mammalian),Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,L-cysteine Biosynthesis,,,,,,,,,,
ARGASEDEG-PWY,L-arginine degradation I (arginase pathway),Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,L-glutamate Biosynthesis,,,,,,,,,,
PWY-5505,L-glutamate and L-glutamine biosynthesis,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,L-glutamate Biosynthesis,,,,,,,,,,
GLUTSYN-PWY,L-glutamate biosynthesis I,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,L-glutamate Biosynthesis,,,,,,,,,,
GLUTAMATE-SYN2-PWY,L-glutamate biosynthesis II,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,L-glutamate Biosynthesis,,,,,,,,,,
GLUTSYNIII-PWY,L-glutamate biosynthesis III,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,L-glutamate Biosynthesis,,,,,,,,,,
GLUGLNSYN-PWY,L-glutamate biosynthesis IV,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,L-glutamate Biosynthesis,,,,,,,,,,
PWY-4341,L-glutamate biosynthesis V,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,L-glutamate Biosynthesis,,,,,,,,,,
PWY-5505,L-glutamate and L-glutamine biosynthesis,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,L-glutamine Biosynthesis,,,,,,,,,,
GLNSYN-PWY,L-glutamine biosynthesis I,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,L-glutamine Biosynthesis,,,,,,,,,,
PWY-5029,3-(imidazol-5-yl)lactate salvage,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,L-histidine Biosynthesis,,,,,,,,,,
HISTSYN-PWY,L-histidine biosynthesis,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,L-histidine Biosynthesis,,,,,,,,,,
ILEUSYN-PWY,L-isoleucine biosynthesis I (from threonine),Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,L-isoleucine Biosynthesis,,,,,,,,,,
PWY-5101,L-isoleucine biosynthesis II,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,L-isoleucine Biosynthesis,,,,,,,,,,
PWY-5103,L-isoleucine biosynthesis III,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,L-isoleucine Biosynthesis,,,,,,,,,,
PWY-5104,L-isoleucine biosynthesis IV,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,L-isoleucine Biosynthesis,,,,,,,,,,
PWY-5108,L-isoleucine biosynthesis V,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,L-isoleucine Biosynthesis,,,,,,,,,,
PWY-3001,superpathway of L-isoleucine biosynthesis I,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,L-isoleucine Biosynthesis,,,,,,,,,,
LEUSYN-PWY,L-leucine biosynthesis,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,L-leucine Biosynthesis,,,,,,,,,,
DAPLYSINESYN-PWY,L-lysine biosynthesis I,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,L-lysine Biosynthesis,,,,,,,,,,
PWY-2941,L-lysine biosynthesis II,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,L-lysine Biosynthesis,,,,,,,,,,
PWY-2942,L-lysine biosynthesis III,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,L-lysine Biosynthesis,,,,,,,,,,
LYSINE-AMINOAD-PWY,L-lysine biosynthesis IV,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,L-lysine Biosynthesis,,,,,,,,,,
PWY-3081,L-lysine biosynthesis V,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,L-lysine Biosynthesis,,,,,,,,,,
PWY-5097,L-lysine biosynthesis VI,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,L-lysine Biosynthesis,,,,,,,,,,
PHESYN,L-phenylalanine biosynthesis I,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,L-methionine Biosynthesis,L-methionine De Novo Biosynthesis,L-methionine Salvage,L-phenylalanine Biosynthesis,,,,,,,
PWY-3462,L-phenylalanine biosynthesis II,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,L-methionine Biosynthesis,L-methionine De Novo Biosynthesis,L-methionine Salvage,L-phenylalanine Biosynthesis,,,,,,,
PWY-7432,"L-phenylalanine biosynthesis III (cytosolic, plants)",Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,L-methionine Biosynthesis,L-methionine De Novo Biosynthesis,L-methionine Salvage,L-phenylalanine Biosynthesis,,,,,,,
PWY-6628,superpathway of L-phenylalanine biosynthesis,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,L-methionine Biosynthesis,L-methionine De Novo Biosynthesis,L-methionine Salvage,L-phenylalanine Biosynthesis,,,,,,,
ORN-AMINOPENTANOATE-CAT-PWY,L-ornithine degradation I (L-proline biosynthesis),Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,L-methionine Biosynthesis,L-methionine De Novo Biosynthesis,L-methionine Salvage,L-proline Biosynthesis,,,,,,,
PROSYN-PWY,L-proline biosynthesis I (from L-glutamate),Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,L-methionine Biosynthesis,L-methionine De Novo Biosynthesis,L-methionine Salvage,L-proline Biosynthesis,,,,,,,
PWY-4981,L-proline biosynthesis II (from arginine),Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,L-methionine Biosynthesis,L-methionine Salvage,L-proline Biosynthesis,,,,,,,,
PWY-3341,L-proline biosynthesis III (from L-ornithine),Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,L-methionine Biosynthesis,L-proline Biosynthesis,,,,,,,,,
PWY-4281,L-proline biosynthesis IV,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,L-methionine Biosynthesis,L-proline Biosynthesis,,,,,,,,,
PWY-6994,L-pyrrolysine biosynthesis,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,L-methionine Biosynthesis,L-pyrrolysine Biosynthesis,,,,,,,,,
PWY0-901,L-selenocysteine biosynthesis I (bacteria),Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,L-methionine Biosynthesis,L-selenocysteine Biosynthesis,,,,,,,,,
PWY-6281,L-selenocysteine biosynthesis II (archaea and eukaryotes),Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,L-methionine Biosynthesis,L-selenocysteine Biosynthesis,,,,,,,,,
SERSYN-PWY,L-serine biosynthesis I,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,L-methionine Biosynthesis,L-serine Biosynthesis,,,,,,,,,
PWY-8011,L-serine biosynthesis II,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,L-serine Biosynthesis,,,,,,,,,,
HOMOSER-THRESYN-PWY,L-threonine biosynthesis,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,L-threonine Biosynthesis,,,,,,,,,,
THRESYN-PWY,superpathway of L-threonine biosynthesis,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,L-threonine Biosynthesis,,,,,,,,,,
TRPSYN-PWY,L-tryptophan biosynthesis,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,L-tryptophan Biosynthesis,,,,,,,,,,
PWY-6629,superpathway of L-tryptophan biosynthesis,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,L-tryptophan Biosynthesis,,,,,,,,,,
TYRSYN,L-tyrosine biosynthesis I,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,L-tyrosine Biosynthesis,,,,,,,,,,
PWY-3461,L-tyrosine biosynthesis II,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,L-tyrosine Biosynthesis,,,,,,,,,,
PWY-6120,L-tyrosine biosynthesis III,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,L-tyrosine Biosynthesis,,,,,,,,,,
PWY-6134,L-tyrosine biosynthesis IV,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,L-tyrosine Biosynthesis,,,,,,,,,,
PWY-6630,superpathway of L-tyrosine biosynthesis,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,L-tyrosine Biosynthesis,,,,,,,,,,
VALSYN-PWY,L-valine biosynthesis,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,L-valine Biosynthesis,,,,,,,,,,
ASPASN-PWY,superpathway of L-aspartate and L-asparagine biosynthesis,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,,,,,,,,,,,
P4-PWY,"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I",Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,,,,,,,,,,,
PWY-724,"superpathway of L-lysine, L-threonine and L-methionine biosynthesis II",Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,,,,,,,,,,,
PWY-3481,superpathway of L-phenylalanine and L-tyrosine biosynthesis,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,,,,,,,,,,,
SER-GLYSYN-PWY,superpathway of L-serine and glycine biosynthesis I,Biosynthesis,Amino Acid Biosynthesis,Proteinogenic Amino Acid Biosynthesis,,,,,,,,,,,
