"PathwayID","CompoundID","CompoundName"
"ko00010","C00022","Pyruvate"
"ko00010","C00024","Acetyl-CoA"
"ko00010","C00031","D-Glucose"
"ko00010","C00033","Acetate"
"ko00010","C00036","Oxaloacetate"
"ko00010","C00068","Thiamin diphosphate"
"ko00010","C00074","Phosphoenolpyruvate"
"ko00010","C00084","Acetaldehyde"
"ko00010","C00085","D-Fructose 6-phosphate"
"ko00010","C00103","D-Glucose 1-phosphate"
"ko00010","C00111","Glycerone phosphate"
"ko00010","C00118","D-Glyceraldehyde 3-phosphate"
"ko00010","C00186","(S)-Lactate"
"ko00010","C00197","3-Phospho-D-glycerate"
"ko00010","C00221","beta-D-Glucose"
"ko00010","C00236","3-Phospho-D-glyceroyl phosphate"
"ko00010","C00267","alpha-D-Glucose"
"ko00010","C00354","D-Fructose 1,6-bisphosphate"
"ko00010","C00469","Ethanol"
"ko00010","C00631","2-Phospho-D-glycerate"
"ko00010","C00668","alpha-D-Glucose 6-phosphate"
"ko00010","C01159","2,3-Bisphospho-D-glycerate"
"ko00010","C01172","beta-D-Glucose 6-phosphate"
"ko00010","C01451","Salicin"
"ko00010","C05125","2-(alpha-Hydroxyethyl)thiamine diphosphate"
"ko00010","C06186","Arbutin"
"ko00010","C06187","Arbutin 6-phosphate"
"ko00010","C06188","Salicin 6-phosphate"
"ko00010","C15972","Enzyme N6-(lipoyl)lysine"
"ko00010","C15973","Enzyme N6-(dihydrolipoyl)lysine"
"ko00010","C16255","[Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine"
"ko00020","C00022","Pyruvate"
"ko00020","C00024","Acetyl-CoA"
"ko00020","C00026","2-Oxoglutarate"
"ko00020","C00036","Oxaloacetate"
"ko00020","C00042","Succinate"
"ko00020","C00068","Thiamin diphosphate"
"ko00020","C00074","Phosphoenolpyruvate"
"ko00020","C00091","Succinyl-CoA"
"ko00020","C00122","Fumarate"
"ko00020","C00149","(S)-Malate"
"ko00020","C00158","Citrate"
"ko00020","C00311","Isocitrate"
"ko00020","C00417","cis-Aconitate"
"ko00020","C05125","2-(alpha-Hydroxyethyl)thiamine diphosphate"
"ko00020","C05379","Oxalosuccinate"
"ko00020","C05381","3-Carboxy-1-hydroxypropyl-ThPP"
"ko00020","C15972","Enzyme N6-(lipoyl)lysine"
"ko00020","C15973","Enzyme N6-(dihydrolipoyl)lysine"
"ko00020","C16254","[Dihydrolipoyllysine-residue succinyltransferase] S-succinyldihydrolipoyllysine"
"ko00020","C16255","[Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine"
"ko00030","C00022","Pyruvate"
"ko00030","C00031","D-Glucose"
"ko00030","C00085","D-Fructose 6-phosphate"
"ko00030","C00117","D-Ribose 5-phosphate"
"ko00030","C00118","D-Glyceraldehyde 3-phosphate"
"ko00030","C00119","5-Phospho-alpha-D-ribose 1-diphosphate"
"ko00030","C00121","D-Ribose"
"ko00030","C00197","3-Phospho-D-glycerate"
"ko00030","C00198","D-Glucono-1,5-lactone"
"ko00030","C00199","D-Ribulose 5-phosphate"
"ko00030","C00204","2-Dehydro-3-deoxy-D-gluconate"
"ko00030","C00221","beta-D-Glucose"
"ko00030","C00231","D-Xylulose 5-phosphate"
"ko00030","C00257","D-Gluconic acid"
"ko00030","C00258","D-Glycerate"
"ko00030","C00279","D-Erythrose 4-phosphate"
"ko00030","C00345","6-Phospho-D-gluconate"
"ko00030","C00354","D-Fructose 1,6-bisphosphate"
"ko00030","C00577","D-Glyceraldehyde"
"ko00030","C00620","alpha-D-Ribose 1-phosphate"
"ko00030","C00631","2-Phospho-D-glycerate"
"ko00030","C00668","alpha-D-Glucose 6-phosphate"
"ko00030","C00672","2-Deoxy-D-ribose 1-phosphate"
"ko00030","C00673","2-Deoxy-D-ribose 5-phosphate"
"ko00030","C01151","D-Ribose 1,5-bisphosphate"
"ko00030","C01172","beta-D-Glucose 6-phosphate"
"ko00030","C01182","D-Ribulose 1,5-bisphosphate"
"ko00030","C01218","6-Phospho-2-dehydro-D-gluconate"
"ko00030","C01236","D-Glucono-1,5-lactone 6-phosphate"
"ko00030","C01801","Deoxyribose"
"ko00030","C02076","Sedoheptulose"
"ko00030","C03752","2-Amino-2-deoxy-D-gluconate"
"ko00030","C04442","2-Dehydro-3-deoxy-6-phospho-D-gluconate"
"ko00030","C05382","Sedoheptulose 7-phosphate"
"ko00030","C06019","D-arabino-Hex-3-ulose 6-phosphate"
"ko00030","C06473","2-Keto-D-gluconic acid"
"ko00030","C20589","D-Glucosaminate-6-phosphate"
"ko00040","C00022","Pyruvate"
"ko00040","C00026","2-Oxoglutarate"
"ko00040","C00029","UDP-glucose"
"ko00040","C00103","D-Glucose 1-phosphate"
"ko00040","C00111","Glycerone phosphate"
"ko00040","C00116","Glycerol"
"ko00040","C00167","UDP-glucuronate"
"ko00040","C00181","D-Xylose"
"ko00040","C00191","D-Glucuronate"
"ko00040","C00199","D-Ribulose 5-phosphate"
"ko00040","C00204","2-Dehydro-3-deoxy-D-gluconate"
"ko00040","C00216","D-Arabinose"
"ko00040","C00231","D-Xylulose 5-phosphate"
"ko00040","C00259","L-Arabinose"
"ko00040","C00266","Glycolaldehyde"
"ko00040","C00309","D-Ribulose"
"ko00040","C00310","D-Xylulose"
"ko00040","C00312","L-Xylulose"
"ko00040","C00333","D-Galacturonate"
"ko00040","C00379","Xylitol"
"ko00040","C00433","2,5-Dioxopentanoate"
"ko00040","C00470","Pectate"
"ko00040","C00474","Ribitol"
"ko00040","C00476","D-Lyxose"
"ko00040","C00502","D-Xylonate"
"ko00040","C00508","L-Ribulose"
"ko00040","C00514","D-Mannonate"
"ko00040","C00532","L-Arabitol"
"ko00040","C00558","D-Tagaturonate"
"ko00040","C00618","3-Dehydro-L-gulonate"
"ko00040","C00714","Pectin"
"ko00040","C00789","CDP-ribitol"
"ko00040","C00800","L-Gulonate"
"ko00040","C00817","D-Altronate"
"ko00040","C00905","D-Fructuronate"
"ko00040","C01068","D-Ribitol 5-phosphate"
"ko00040","C01101","L-Ribulose 5-phosphate"
"ko00040","C01508","L-Lyxose"
"ko00040","C01904","D-Arabitol"
"ko00040","C02266","D-Xylonolactone"
"ko00040","C02273","Digalacturonate"
"ko00040","C02426","L-Glyceraldehyde"
"ko00040","C02753","D-Xylono-1,4-lactone"
"ko00040","C03033","beta-D-Glucuronoside"
"ko00040","C03291","L-Xylulose 5-phosphate"
"ko00040","C03826","2-Dehydro-3-deoxy-D-xylonate"
"ko00040","C04053","5-Dehydro-4-deoxy-D-glucuronate"
"ko00040","C04349","(4S)-4,6-Dihydroxy-2,5-dioxohexanoate"
"ko00040","C04575","(4R,5S)-4,5,6-Trihydroxy-2,3-dioxohexanoate"
"ko00040","C05385","D-Glucuronate 1-phosphate"
"ko00040","C05411","L-Xylonate"
"ko00040","C05412","L-Lyxonate"
"ko00040","C06118","4-(4-Deoxy-alpha-D-gluc-4-enuronosyl)-D-galacturonate"
"ko00040","C06441","L-Xylulose 1-phosphate"
"ko00040","C14899","3-Dehydro-L-gulonate 6-phosphate"
"ko00040","C15930","L-Galactonate"
"ko00040","C20680","2-Dehydro-3-deoxy-L-galactonate"
"ko00040","C20902","3,6-Anhydro-alpha-L-galactopyranose"
"ko00040","C20903","3,6-Anhydro-L-galactonate"
"ko00040","C22337","D-Ribulose 1-phosphate"
"ko00040","C22712","4-Deoxy-L-threo-hex-4-enopyranuronate"
"ko00051","C00085","D-Fructose 6-phosphate"
"ko00051","C00095","D-Fructose"
"ko00051","C00096","GDP-mannose"
"ko00051","C00111","Glycerone phosphate"
"ko00051","C00118","D-Glyceraldehyde 3-phosphate"
"ko00051","C00159","D-Mannose"
"ko00051","C00186","(S)-Lactate"
"ko00051","C00247","L-Sorbose"
"ko00051","C00267","alpha-D-Glucose"
"ko00051","C00275","D-Mannose 6-phosphate"
"ko00051","C00325","GDP-L-fucose"
"ko00051","C00354","D-Fructose 1,6-bisphosphate"
"ko00051","C00392","Mannitol"
"ko00051","C00424","(S)-Lactaldehyde"
"ko00051","C00464","Mannan"
"ko00051","C00507","L-Rhamnose"
"ko00051","C00577","D-Glyceraldehyde"
"ko00051","C00636","D-Mannose 1-phosphate"
"ko00051","C00644","D-Mannitol 1-phosphate"
"ko00051","C00665","beta-D-Fructose 2,6-bisphosphate"
"ko00051","C00794","D-Sorbitol"
"ko00051","C00861","L-Rhamnulose"
"ko00051","C00976","GDP-D-mannuronate"
"ko00051","C01019","L-Fucose"
"ko00051","C01094","D-Fructose 1-phosphate"
"ko00051","C01096","Sorbitol 6-phosphate"
"ko00051","C01099","L-Fuculose 1-phosphate"
"ko00051","C01131","L-Rhamnulose 1-phosphate"
"ko00051","C01222","GDP-4-dehydro-6-deoxy-D-mannose"
"ko00051","C01355","Fructan"
"ko00051","C01487","D-Allose"
"ko00051","C01720","L-Fuconate"
"ko00051","C01721","L-Fuculose"
"ko00051","C01768","(Alginate)n"
"ko00051","C01934","L-Rhamnonate"
"ko00051","C02431","L-Rhamnofuranose"
"ko00051","C02492","1,4-beta-D-Mannan"
"ko00051","C02888","Sorbose 1-phosphate"
"ko00051","C02962","D-Allose 6-phosphate"
"ko00051","C02977","GDP-6-deoxy-D-talose"
"ko00051","C02985","L-Fucose 1-phosphate"
"ko00051","C02991","L-Rhamnono-1,4-lactone"
"ko00051","C03117","GDP-6-deoxy-D-mannose"
"ko00051","C03267","beta-D-Fructose 2-phosphate"
"ko00051","C03827","2-Dehydro-3-deoxy-L-fuconate"
"ko00051","C03979","2-Dehydro-3-deoxy-L-rhamnonate"
"ko00051","C05144","(beta-D-Mannuronate)n"
"ko00051","C05392","Oligouronide with 4-deoxy-alpha-L-erythro-hex-4-enopyranuronosyl group"
"ko00051","C06192","ADP-mannose"
"ko00051","C11516","2-(alpha-D-Mannosyl)-3-phosphoglycerate"
"ko00051","C11544","2-O-(alpha-D-Mannosyl)-D-glycerate"
"ko00051","C18028","L-Fucono-1,5-lactone"
"ko00051","C18096","D-Allulose 6-phosphate"
"ko00051","C20781","2,4-Diketo-3-deoxy-L-fuconate"
"ko00051","C20835","alpha-L-Fucopyranose"
"ko00051","C20836","beta-L-Fucopyranose"
"ko00052","C00029","UDP-glucose"
"ko00052","C00031","D-Glucose"
"ko00052","C00052","UDP-alpha-D-galactose"
"ko00052","C00085","D-Fructose 6-phosphate"
"ko00052","C00089","Sucrose"
"ko00052","C00095","D-Fructose"
"ko00052","C00103","D-Glucose 1-phosphate"
"ko00052","C00111","Glycerone phosphate"
"ko00052","C00116","Glycerol"
"ko00052","C00118","D-Glyceraldehyde 3-phosphate"
"ko00052","C00124","D-Galactose"
"ko00052","C00137","myo-Inositol"
"ko00052","C00159","D-Mannose"
"ko00052","C00243","Lactose"
"ko00052","C00267","alpha-D-Glucose"
"ko00052","C00446","alpha-D-Galactose 1-phosphate"
"ko00052","C00492","Raffinose"
"ko00052","C00577","D-Glyceraldehyde"
"ko00052","C00668","alpha-D-Glucose 6-phosphate"
"ko00052","C00794","D-Sorbitol"
"ko00052","C00795","D-Tagatose"
"ko00052","C00880","D-Galactonate"
"ko00052","C00984","alpha-D-Galactose"
"ko00052","C01097","D-Tagatose 6-phosphate"
"ko00052","C01113","D-Galactose 6-phosphate"
"ko00052","C01132","N-Acetyl-D-galactosamine"
"ko00052","C01216","2-Dehydro-3-deoxy-D-galactonate"
"ko00052","C01235","alpha-D-Galactosyl-(1->3)-1D-myo-inositol"
"ko00052","C01286","2-Dehydro-3-deoxy-6-phospho-D-galactonate"
"ko00052","C01613","Stachyose"
"ko00052","C01697","Galactitol"
"ko00052","C02262","D-Galactosamine"
"ko00052","C02669","D-Galactono-1,5-lactone"
"ko00052","C03383","D-Galactono-1,4-lactone"
"ko00052","C03733","UDP-alpha-D-galactofuranose"
"ko00052","C03785","D-Tagatose 1,6-bisphosphate"
"ko00052","C05396","Lactose 6'-phosphate"
"ko00052","C05399","Melibiitol"
"ko00052","C05400","Epimelibiose"
"ko00052","C05401","3-beta-D-Galactosyl-sn-glycerol"
"ko00052","C05402","Melibiose"
"ko00052","C05404","D-Gal alpha 1->6D-Gal alpha 1->6D-Glucose"
"ko00052","C05796","Galactan"
"ko00052","C06311","Galactitol 1-phosphate"
"ko00052","C06376","N-Acetyl-D-galactosamine 6-phosphate"
"ko00052","C06377","D-Galactosamine 6-phosphate"
"ko00053","C00022","Pyruvate"
"ko00053","C00026","2-Oxoglutarate"
"ko00053","C00029","UDP-glucose"
"ko00053","C00072","Ascorbate"
"ko00053","C00096","GDP-mannose"
"ko00053","C00137","myo-Inositol"
"ko00053","C00167","UDP-glucuronate"
"ko00053","C00191","D-Glucuronate"
"ko00053","C00216","D-Arabinose"
"ko00053","C00231","D-Xylulose 5-phosphate"
"ko00053","C00259","L-Arabinose"
"ko00053","C00333","D-Galacturonate"
"ko00053","C00433","2,5-Dioxopentanoate"
"ko00053","C00545","L-Arabinonate"
"ko00053","C00558","D-Tagaturonate"
"ko00053","C00617","UDP-D-galacturonate"
"ko00053","C00618","3-Dehydro-L-gulonate"
"ko00053","C00652","D-Arabinono-1,4-lactone"
"ko00053","C00679","5-Dehydro-4-deoxy-D-glucarate"
"ko00053","C00684","2-Dehydro-3-deoxy-L-arabinonate"
"ko00053","C00800","L-Gulonate"
"ko00053","C00818","D-Glucarate"
"ko00053","C00878","D-Arabinonate"
"ko00053","C00879","D-Galactarate"
"ko00053","C01040","L-Gulono-1,4-lactone"
"ko00053","C01041","Monodehydroascorbate"
"ko00053","C01101","L-Ribulose 5-phosphate"
"ko00053","C01114","L-Arabinono-1,4-lactone"
"ko00053","C01115","L-Galactono-1,4-lactone"
"ko00053","C01146","2-Hydroxy-3-oxopropanoate"
"ko00053","C01620","Threonate"
"ko00053","C01825","L-Galactose"
"ko00053","C02280","GDP-L-galactose"
"ko00053","C02670","D-Glucuronolactone"
"ko00053","C03033","beta-D-Glucuronoside"
"ko00053","C03064","3-Dehydro-L-threonate"
"ko00053","C03289","L-xylo-Hexulonolactone"
"ko00053","C03291","L-Xylulose 5-phosphate"
"ko00053","C03826","2-Dehydro-3-deoxy-D-xylonate"
"ko00053","C03921","2-Dehydro-3-deoxy-D-glucarate"
"ko00053","C04037","1-Phospho-alpha-D-galacturonate"
"ko00053","C04575","(4R,5S)-4,5,6-Trihydroxy-2,3-dioxohexanoate"
"ko00053","C05385","D-Glucuronate 1-phosphate"
"ko00053","C05411","L-Xylonate"
"ko00053","C05412","L-Lyxonate"
"ko00053","C05422","Dehydroascorbate"
"ko00053","C06316","Dehydro-D-arabinono-1,4-lactone"
"ko00053","C14899","3-Dehydro-L-gulonate 6-phosphate"
"ko00053","C15923","L-Gulose"
"ko00053","C15924","L-Gulose 1-phosphate"
"ko00053","C15925","GDP-L-gulose"
"ko00053","C15926","beta-L-Galactose 1-phosphate"
"ko00053","C15930","L-Galactonate"
"ko00053","C16186","L-Ascorbate 6-phosphate"
"ko00053","C20889","D-Galactaro-1,5-lactone"
"ko00053","C20896","D-Galactaro-1,4-lactone"
"ko00053","C21955","L-Galactono-1,5-lactone"
"ko00500","C00029","UDP-glucose"
"ko00500","C00031","D-Glucose"
"ko00500","C00085","D-Fructose 6-phosphate"
"ko00500","C00089","Sucrose"
"ko00500","C00092","D-Glucose 6-phosphate"
"ko00500","C00095","D-Fructose"
"ko00500","C00103","D-Glucose 1-phosphate"
"ko00500","C00185","Cellobiose"
"ko00500","C00208","Maltose"
"ko00500","C00252","Isomaltose"
"ko00500","C00369","Starch"
"ko00500","C00372","Dextran"
"ko00500","C00394","GDP-glucose"
"ko00500","C00498","ADP-glucose"
"ko00500","C00501","CDP-glucose"
"ko00500","C00663","beta-D-Glucose 1-phosphate"
"ko00500","C00689","alpha,alpha'-Trehalose 6-phosphate"
"ko00500","C00718","Amylose"
"ko00500","C00721","Dextrin"
"ko00500","C00760","Cellulose"
"ko00500","C00963","beta-D-Glucoside"
"ko00500","C00965","1,3-beta-D-Glucan"
"ko00500","C00973","Cyclomaltodextrin"
"ko00500","C01083","alpha,alpha-Trehalose"
"ko00500","C01231","alpha-D-Glucose 1,6-bisphosphate"
"ko00500","C01725","Levanbiose"
"ko00500","C01898","Cellodextrin"
"ko00500","C01935","Maltodextrin"
"ko00500","C02591","Sucrose 6'-phosphate"
"ko00500","C02995","Maltose 6'-phosphate"
"ko00500","C03323","(2,1-beta-D-Fructosyl)n"
"ko00500","C04534","6-Phospho-beta-D-glucosyl-(1,4)-D-glucose"
"ko00500","C05731","3-Ketosucrose"
"ko00500","C06215","Levan"
"ko00500","C06400","1-alpha-D-[(1->4)-alpha-D-Glucosyl](n-1)-alpha-D-glucopyranoside"
"ko00500","C16688","Sucrose 6-phosphate"
"ko00500","C20237","alpha-Maltose 1-phosphate"
"ko00620","C00022","Pyruvate"
"ko00620","C00024","Acetyl-CoA"
"ko00620","C00033","Acetate"
"ko00620","C00036","Oxaloacetate"
"ko00620","C00042","Succinate"
"ko00620","C00058","Formate"
"ko00620","C00068","Thiamin diphosphate"
"ko00620","C00074","Phosphoenolpyruvate"
"ko00620","C00083","Malonyl-CoA"
"ko00620","C00084","Acetaldehyde"
"ko00620","C00122","Fumarate"
"ko00620","C00149","(S)-Malate"
"ko00620","C00186","(S)-Lactate"
"ko00620","C00227","Acetyl phosphate"
"ko00620","C00256","(R)-Lactate"
"ko00620","C00332","Acetoacetyl-CoA"
"ko00620","C00424","(S)-Lactaldehyde"
"ko00620","C00469","Ethanol"
"ko00620","C00546","Methylglyoxal"
"ko00620","C00937","(R)-Lactaldehyde"
"ko00620","C01251","(R)-2-Hydroxybutane-1,2,4-tricarboxylate"
"ko00620","C02488","(R)-2-Ethylmalate"
"ko00620","C02504","alpha-Isopropylmalate"
"ko00620","C03248","Acetylenedicarboxylate"
"ko00620","C03451","(R)-S-Lactoylglutathione"
"ko00620","C03981","2-Hydroxyethylenedicarboxylate"
"ko00620","C05125","2-(alpha-Hydroxyethyl)thiamine diphosphate"
"ko00620","C05993","Acetyl adenylate"
"ko00620","C05994","2-Propylmalate"
"ko00620","C15972","Enzyme N6-(lipoyl)lysine"
"ko00620","C15973","Enzyme N6-(dihydrolipoyl)lysine"
"ko00620","C16255","[Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine"
"ko00630","C00007","Oxygen"
"ko00630","C00011","CO2"
"ko00630","C00014","Ammonia"
"ko00630","C00022","Pyruvate"
"ko00630","C00024","Acetyl-CoA"
"ko00630","C00025","L-Glutamate"
"ko00630","C00026","2-Oxoglutarate"
"ko00630","C00027","Hydrogen peroxide"
"ko00630","C00033","Acetate"
"ko00630","C00036","Oxaloacetate"
"ko00630","C00037","Glycine"
"ko00630","C00042","Succinate"
"ko00630","C00048","Glyoxylate"
"ko00630","C00049","L-Aspartate"
"ko00630","C00058","Formate"
"ko00630","C00064","L-Glutamine"
"ko00630","C00065","L-Serine"
"ko00630","C00091","Succinyl-CoA"
"ko00630","C00100","Propanoyl-CoA"
"ko00630","C00111","Glycerone phosphate"
"ko00630","C00136","Butanoyl-CoA"
"ko00630","C00149","(S)-Malate"
"ko00630","C00158","Citrate"
"ko00630","C00160","Glycolate"
"ko00630","C00168","Hydroxypyruvate"
"ko00630","C00197","3-Phospho-D-glycerate"
"ko00630","C00209","Oxalate"
"ko00630","C00258","D-Glycerate"
"ko00630","C00266","Glycolaldehyde"
"ko00630","C00311","Isocitrate"
"ko00630","C00313","Oxalyl-CoA"
"ko00630","C00332","Acetoacetyl-CoA"
"ko00630","C00417","cis-Aconitate"
"ko00630","C00552","meso-Tartaric acid"
"ko00630","C00631","2-Phospho-D-glycerate"
"ko00630","C00683","(S)-Methylmalonyl-CoA"
"ko00630","C00798","Formyl-CoA"
"ko00630","C00877","Crotonoyl-CoA"
"ko00630","C00888","Pentanoyl-CoA"
"ko00630","C00898","(R,R)-Tartaric acid"
"ko00630","C00975","Dihydroxyfumarate"
"ko00630","C00988","2-Phosphoglycolate"
"ko00630","C01127","4-Hydroxy-2-oxoglutarate"
"ko00630","C01146","2-Hydroxy-3-oxopropanoate"
"ko00630","C01182","D-Ribulose 1,5-bisphosphate"
"ko00630","C01213","(R)-Methylmalonyl-CoA"
"ko00630","C01380","Ethylene glycol"
"ko00630","C01732","Mesaconate"
"ko00630","C01989","3-Ethylmalate"
"ko00630","C01990","3-Oxalomalate"
"ko00630","C02123","3-Propylmalate"
"ko00630","C02405","Formyl phosphate"
"ko00630","C03217","2-Hydroxy-3-oxoadipate"
"ko00630","C03459","2-Hydroxy-3-oxosuccinate"
"ko00630","C03548","trans-2,3-Epoxysuccinate"
"ko00630","C03561","(R)-3-Hydroxybutanoyl-CoA"
"ko00630","C03618","L-threo-3-Methylaspartate"
"ko00630","C04348","L-Malyl-CoA"
"ko00630","C05840","Iminoaspartate"
"ko00630","C06027","L-erythro-3-Methylmalyl-CoA"
"ko00630","C06028","2-Methylfumaryl-CoA"
"ko00630","C06049","N-Formylderivatives"
"ko00630","C18026","(2S)-Ethylmalonyl-CoA"
"ko00630","C18324","(2S)-Methylsuccinyl-CoA"
"ko00630","C19838","D-erythro-3-Hydroxyaspartate"
"ko00630","C20238","(2R)-Ethylmalonyl-CoA"
"ko00630","C22337","D-Ribulose 1-phosphate"
"ko00640","C00024","Acetyl-CoA"
"ko00640","C00036","Oxaloacetate"
"ko00640","C00042","Succinate"
"ko00640","C00068","Thiamin diphosphate"
"ko00640","C00083","Malonyl-CoA"
"ko00640","C00091","Succinyl-CoA"
"ko00640","C00099","beta-Alanine"
"ko00640","C00100","Propanoyl-CoA"
"ko00640","C00109","2-Oxobutanoate"
"ko00640","C00111","Glycerone phosphate"
"ko00640","C00163","Propanoate"
"ko00640","C00186","(S)-Lactate"
"ko00640","C00222","3-Oxopropanoate"
"ko00640","C00424","(S)-Lactaldehyde"
"ko00640","C00479","Propanal"
"ko00640","C00511","Acrylic acid"
"ko00640","C00546","Methylglyoxal"
"ko00640","C00583","Propane-1,2-diol"
"ko00640","C00683","(S)-Methylmalonyl-CoA"
"ko00640","C00804","Propynoate"
"ko00640","C00827","Lactoyl-CoA"
"ko00640","C00894","Propenoyl-CoA"
"ko00640","C01013","3-Hydroxypropanoate"
"ko00640","C01213","(R)-Methylmalonyl-CoA"
"ko00640","C02170","Methylmalonate"
"ko00640","C02225","2-Methylcitrate"
"ko00640","C02335","beta-Alanyl-CoA"
"ko00640","C02876","Propanoyl phosphate"
"ko00640","C04225","(Z)-But-2-ene-1,2,3-tricarboxylate"
"ko00640","C04593","(2S,3R)-3-Hydroxybutane-1,2,3-tricarboxylate"
"ko00640","C05235","Hydroxyacetone"
"ko00640","C05668","3-Hydroxypropionyl-CoA"
"ko00640","C05979","Propane-1-ol"
"ko00640","C05983","Propionyladenylate"
"ko00640","C05984","2-Hydroxybutanoic acid"
"ko00640","C05989","3-Oxopropionyl-CoA"
"ko00640","C06002","(S)-Methylmalonate semialdehyde"
"ko00640","C15972","Enzyme N6-(lipoyl)lysine"
"ko00640","C15973","Enzyme N6-(dihydrolipoyl)lysine"
"ko00640","C21017","2-(alpha-Hydroxypropyl)thiamine diphosphate"
"ko00640","C21018","Enzyme N6-(S-propyldihydrolipoyl)lysine"
"ko00640","C21250","2-Methyl-trans-aconitate"
"ko00650","C00022","Pyruvate"
"ko00650","C00024","Acetyl-CoA"
"ko00650","C00025","L-Glutamate"
"ko00650","C00026","2-Oxoglutarate"
"ko00650","C00042","Succinate"
"ko00650","C00091","Succinyl-CoA"
"ko00650","C00122","Fumarate"
"ko00650","C00132","Methanol"
"ko00650","C00136","Butanoyl-CoA"
"ko00650","C00164","Acetoacetate"
"ko00650","C00207","Acetone"
"ko00650","C00232","Succinate semialdehyde"
"ko00650","C00246","Butanoic acid"
"ko00650","C00332","Acetoacetyl-CoA"
"ko00650","C00334","4-Aminobutanoate"
"ko00650","C00356","(S)-3-Hydroxy-3-methylglutaryl-CoA"
"ko00650","C00497","(R)-Malate"
"ko00650","C00741","Diacetyl"
"ko00650","C00810","(R)-Acetoin"
"ko00650","C00877","Crotonoyl-CoA"
"ko00650","C00989","4-Hydroxybutanoic acid"
"ko00650","C01089","(R)-3-Hydroxybutanoate"
"ko00650","C01144","(S)-3-Hydroxybutanoyl-CoA"
"ko00650","C01384","Maleic acid"
"ko00650","C01412","Butanal"
"ko00650","C01769","(S)-Acetoin"
"ko00650","C01845","Propan-2-ol"
"ko00650","C02331","Vinylacetyl-CoA"
"ko00650","C02411","Glutaconyl-1-CoA"
"ko00650","C02527","Butanoylphosphate"
"ko00650","C02630","2-Hydroxyglutarate"
"ko00650","C03044","(R,R)-Butane-2,3-diol"
"ko00650","C03046","(S,S)-Butane-2,3-diol"
"ko00650","C03058","2-Hydroxyglutaryl-CoA"
"ko00650","C03561","(R)-3-Hydroxybutanoyl-CoA"
"ko00650","C04546","(R)-3-((R)-3-Hydroxybutanoyloxy)butanoate"
"ko00650","C06010","(S)-2-Acetolactate"
"ko00650","C06142","1-Butanol"
"ko00650","C06143","Poly-beta-hydroxybutyrate"
"ko00650","C06144","3-Butynoate"
"ko00650","C06145","3-Butyn-1-al"
"ko00650","C06146","3-Butyn-1-ol"
"ko00650","C11062","4-Hydroxybutyryl-CoA"
"ko00650","C17530","Methyl acetate"
"ko00650","C20657","meso-2,3-Butanediol"
"ko00650","C20783","Propane"
"ko00650","C21390","Butane"
"ko00660","C00022","Pyruvate"
"ko00660","C00024","Acetyl-CoA"
"ko00660","C00025","L-Glutamate"
"ko00660","C00026","2-Oxoglutarate"
"ko00660","C00033","Acetate"
"ko00660","C00048","Glyoxylate"
"ko00660","C00100","Propanoyl-CoA"
"ko00660","C00109","2-Oxobutanoate"
"ko00660","C00417","cis-Aconitate"
"ko00660","C00490","Itaconate"
"ko00660","C00531","Itaconyl-CoA"
"ko00660","C00651","4-Methylene-L-glutamate"
"ko00660","C00810","(R)-Acetoin"
"ko00660","C01011","(3S)-Citramalyl-CoA"
"ko00660","C01109","4-Methylene-L-glutamine"
"ko00660","C01732","Mesaconate"
"ko00660","C02226","2-Methylmaleate"
"ko00660","C02341","trans-Aconitate"
"ko00660","C02612","(R)-2-Methylmalate"
"ko00660","C02614","(S)-2-Methylmalate"
"ko00660","C02630","2-Hydroxyglutarate"
"ko00660","C02876","Propanoyl phosphate"
"ko00660","C03618","L-threo-3-Methylaspartate"
"ko00660","C06010","(S)-2-Acetolactate"
"ko00660","C06027","L-erythro-3-Methylmalyl-CoA"
"ko00660","C06028","2-Methylfumaryl-CoA"
"ko00660","C06029","L-threo-3-Methylmalate"
"ko00660","C06030","Methyloxaloacetate"
"ko00660","C06031","D-threo-3-Methylmalate"
"ko00660","C06032","D-erythro-3-Methylmalate"
"ko00660","C06033","Parapyruvate"
"ko00660","C06034","4-Hydroxy-4-methylglutamate"
"ko00660","C06035","4-Methylene-2-oxoglutarate"
"ko00660","C06234","4-Methyl-L-glutamate"
"ko00660","C21632","2-Hydroxyparaconate"
"ko00562","C00024","Acetyl-CoA"
"ko00562","C00092","D-Glucose 6-phosphate"
"ko00562","C00111","Glycerone phosphate"
"ko00562","C00118","D-Glyceraldehyde 3-phosphate"
"ko00562","C00137","myo-Inositol"
"ko00562","C00191","D-Glucuronate"
"ko00562","C00222","3-Oxopropanoate"
"ko00562","C00558","D-Tagaturonate"
"ko00562","C00641","1,2-Diacyl-sn-glycerol"
"ko00562","C00691","2,4,6/3,5-Pentahydroxycyclohexanone"
"ko00562","C01177","Inositol 1-phosphate"
"ko00562","C01194","1-Phosphatidyl-D-myo-inositol"
"ko00562","C01204","Phytic acid"
"ko00562","C01220","1D-myo-Inositol 1,4-bisphosphate"
"ko00562","C01243","1D-myo-Inositol 1,3,4-trisphosphate"
"ko00562","C01245","D-myo-Inositol 1,4,5-trisphosphate"
